edge_idx;source_name;source_label;relation_type;target_name;target_label;period_id;period_label;n_chunks_in_period;event_natural_periods;aligned
153;Fathul Makkah;EVENT;OCCURRED_AT;Makkah;LOCATION;P13;Hunain, Tabuk & Puncak Kekuatan Islam;1;P12;False
154;Fathul Makkah;EVENT;OCCURRED_AT;Jazirah Arab;LOCATION;P13;Hunain, Tabuk & Puncak Kekuatan Islam;1;P12;False
155;Malik bin Auf;PERSON;INVOLVED_IN;Perang Hunain;EVENT;P13;Hunain, Tabuk & Puncak Kekuatan Islam;1;P13;True
156;Muhammad;PERSON;INVOLVED_IN;Perang Hunain;EVENT;P13;Hunain, Tabuk & Puncak Kekuatan Islam;1;P13;True
157;Muhammad;PERSON;INVOLVED_IN;Perang Tabuk;EVENT;P13;Hunain, Tabuk & Puncak Kekuatan Islam;1;P13;True
157;Muhammad;PERSON;INVOLVED_IN;Perang Tabuk;EVENT;P14;Masuknya Umat & Haji Wada';2;P13;False
158;Perang Uhud;EVENT;OCCURRED_AT;Hunain;LOCATION;P13;Hunain, Tabuk & Puncak Kekuatan Islam;1;P9;False
159;Muhammad;PERSON;INVOLVED_IN;Perang Tha'if;EVENT;P14;Masuknya Umat & Haji Wada';2;P13;False
160;Ka'b bin Zuhair;PERSON;INVOLVED_IN;Perang Tha'if;EVENT;P14;Masuknya Umat & Haji Wada';1;P13;False
161;Bujair bin Zuhair;PERSON;INVOLVED_IN;Perang Tha'if;EVENT;P14;Masuknya Umat & Haji Wada';1;P13;False
162;Perang Tha'if;EVENT;OCCURRED_AT;Makkah;LOCATION;P14;Masuknya Umat & Haji Wada';1;P13;False
163;Urwah bin Mas'ud;PERSON;INVOLVED_IN;Perang Tha'if;EVENT;P14;Masuknya Umat & Haji Wada';1;P13;False
164;Perang Tha'if;EVENT;OCCURRED_ON;bulan Ramadhan 9 H;TIME;P14;Masuknya Umat & Haji Wada';1;P13;False
165;Al-Harits bin Abdi;PERSON;INVOLVED_IN;Perang Tabuk;EVENT;P14;Masuknya Umat & Haji Wada';1;P13;False
166;Nu'man bin Qail;PERSON;INVOLVED_IN;Perang Tabuk;EVENT;P14;Masuknya Umat & Haji Wada';1;P13;False
167;Mu'adz bin Jabal;PERSON;INVOLVED_IN;Perang Tabuk;EVENT;P14;Masuknya Umat & Haji Wada';1;P13;False
168;Malik bin An-Namath;PERSON;INVOLVED_IN;Perang Tabuk;EVENT;P14;Masuknya Umat & Haji Wada';1;P13;False
