name;degree_centrality;betweenness_centrality;closeness_centrality;pagerank;degree;community
Thalhah Bin Ubaidillah;0.195402;0.000575;0.461756;0.005065;51;2
Ummu Fulan;0.195402;0.000575;0.461756;0.005065;51;2
Ummu Salamah;0.195402;0.000575;0.461756;0.005065;51;2
Yalail Bin Abdi;0.195402;0.000575;0.461756;0.005065;51;2
Zaid Bin Arqam;0.195402;0.000575;0.461756;0.005065;51;2
Zaid Bin Tsabit;0.195402;0.000575;0.461756;0.005065;51;2
Musa Bin Uqbah;0.195402;0.000575;0.461756;0.005065;51;2
Ummu Sa'D;0.195402;0.000575;0.461756;0.005065;51;2
Ummu Aiman;0.195402;0.000575;0.461756;0.005065;51;2
Mu'Awiyah Bin Al-Mughirah Bin Abul Ash;0.195402;0.000575;0.461756;0.005065;51;2
Khalid Bin Walid;0.195402;0.000575;0.461756;0.005065;51;2
Ibnu Hibban;0.195402;0.000575;0.461756;0.005065;51;2
Ibnu Abdi;0.195402;0.000575;0.461756;0.005065;51;2
Bin Habbah;0.195402;0.000575;0.461756;0.005065;51;2
Amr Bin Hazm;0.195402;0.000575;0.461756;0.005065;51;2
Al-Barra' Bin Azib;0.195402;0.000575;0.461756;0.005065;51;2
Abu Burdah;0.195402;0.000575;0.461756;0.005065;51;2
Abu Bakar Ash-Shidddiq;0.195402;0.000575;0.461756;0.005065;51;2
Abdullah Bin Syihab;0.195402;0.000575;0.461756;0.005065;51;2
Abdul Malik Bin Marwan;0.195402;0.000575;0.461756;0.005065;51;2
Ibrahim;0.049808;0.028662;0.416254;0.004579;13;0
Ibnu Hisyam;0.05364;0.007349;0.415496;0.004482;14;0
Abu Thalib;0.065134;0.012158;0.423991;0.004286;17;0
Ibnu Ishaq;0.072797;0.003824;0.427167;0.004212;19;0
Al-Khadhri;0.049808;0.000187;0.414741;0.003853;13;0
Abdul Muththalib;0.049808;0.009686;0.419315;0.003822;13;0
Sa'D Bin Mua'Dz;0.003831;0.0;0.003831;0.003817;1;9
Kurs Bin Jabir;0.003831;0.0;0.003831;0.003817;1;9
Hanifah Bin Sha'B Bin Ali Bin Bakr;0.003831;0.0;0.003831;0.003817;1;11
Jursyum Bin Jalhamah;0.003831;0.0;0.003831;0.003817;1;8
