name;degree;weighted_degree;degree_centrality;betweenness_centrality;closeness_centrality;pagerank;frequency;periode_bab;page_range;community
Perang Badr;33;86;0.702128;0.012446;0.729917;0.077777;66;Satuan-satuan Pasukan Sebelum Perang Badr;256-265;0
Perang Uhud;34;69;0.723404;0.136008;0.745124;0.065419;55;AKTIVITAS PASUKAN ANTARA PERANG BADR DAN PERANG UHUD;305-307;0
Perang Khandaq;33;56;0.702128;0.095885;0.729917;0.053286;24;Perang Burhan;321-323;0
Isra;30;35;0.638298;0.111233;0.687807;0.039139;17;ISRA’ DAN MI’RAJ;191-197;1
Uhud;28;41;0.595745;0.010451;0.662333;0.035622;3;AKTIVITAS PASUKAN ANTARA PERANG BADR DAN PERANG UHUD;305-307;0
Hudaibiyah;29;40;0.617021;0.013534;0.674829;0.035306;15;PERJANJIAN HUDAIBIYAH;433-450;0
Baiat Aqabah Kubra;28;39;0.595745;0.009354;0.662333;0.034102;4;BAIAT AQABAH KEDUA;203-209;0
Perang Khaibar;27;37;0.574468;0.04136;0.65029;0.032844;13;PERANG KHAIBAR DAN WADIL QURA;473-492;1
Perang Dzul Usyairah;28;37;0.595745;0.003514;0.662333;0.032679;1;Perang Dumatul Jandal;387-389;0
Perang Bani Al-Ashfar;27;33;0.574468;0.004655;0.65029;0.029441;1;Perang Bani Nadhir;382-389;1
Perang Dzatur Riqa;26;33;0.553191;0.006784;0.638678;0.02895;3;Perang Dzatur Riqa’;493-497;1
Al-Umawi;27;31;0.574468;0.007183;0.65029;0.027903;1;Al-Qur’an;169-173;1
Perang Tha'if;27;31;0.574468;0.012113;0.65029;0.027822;4;Perang Tha’if;544-551;1
Perang Fijar;27;27;0.574468;0.045868;0.65029;0.026769;3;Perang Fijar;87-93;1
Perang Tabuk;26;30;0.553191;0.001292;0.638678;0.026767;8;PERANG TABUK;558-571;1
Perjanjian Hudaibiyah;26;30;0.553191;0.002904;0.638678;0.026741;14;PERJANJIAN HUDAIBIYAH;433-450;1
Perang Mu'tah;26;30;0.553191;0.002491;0.638678;0.026706;6;PERANG MU’TAH;502-510;1
Perang Bu'ats;26;29;0.553191;0.001418;0.638678;0.026;6;Perang Burhan;321-323;1
Perang Buwath;26;29;0.553191;0.007568;0.638678;0.02592;1;Perang Burhan;321-323;1
Khaibar;26;29;0.553191;0.007135;0.638678;0.025889;5;PERANG KHAIBAR DAN WADIL QURA;473-492;1
Perang Abwa;27;28;0.574468;0.014421;0.65029;0.025342;1;PERANG TABUK;558-571;1
Baiat Aqabah;26;28;0.553191;0.007964;0.638678;0.025305;2;BAIAT AQABAH PERTAMA;198-202;1
Perang Hunain;26;28;0.553191;0.010075;0.638678;0.025135;6;PERANG HUNAIN;538-551;1
Perang Al-Yamamah;26;27;0.553191;0.007694;0.638678;0.02438;1;PERANG MU’TAH;502-510;1
Hunain;26;26;0.553191;0.010814;0.638678;0.023607;3;PERANG HUNAIN;538-551;1
Ahzab;26;26;0.553191;0.010814;0.638678;0.023607;1;SATUAN-SATUAN PERANG ANTARA PERANG UHUD DAN AHZAB;376-389;1
Perang Bani Mushthaliq;26;26;0.553191;0.010814;0.638678;0.023607;2;Perang Bani Nadhir;382-389;1
Perang Bani Quraizhah;12;14;0.255319;0.012833;0.503746;0.016101;2;PERANG BANI QURAIZHAH;405-411;0
Perang Badr Ula;8;11;0.170213;0.002465;0.458538;0.012168;1;PERANG BADR KUBRA;266-304;0
Perang Yarmuk;6;6;0.12766;0.002598;0.447074;0.008158;2;PERANG TABUK;558-571;0
Al-Isra;2;2;0.042553;0.00149;0.3974;0.00768;2;Al-Qur’an;169-173;2
Hijrah;2;2;0.042553;0.000929;0.38458;0.007605;2;Hijrah ke Habasyah yang Pertama;130-151;2
Perang As-Sawiq;2;3;0.042553;0.0;0.420776;0.00584;2;Perang As-Sawiq;315-323;0
Fathul Makkah;2;3;0.042553;0.0;0.420776;0.00584;3;Peringatan di Makkah;267-304;0
Badr;2;3;0.042553;0.0;0.406431;0.005788;6;Satuan-satuan Pasukan Sebelum Perang Badr;256-265;0
Perang Bani Nadhir;2;2;0.042553;0.0;0.406431;0.005283;3;Perang Bani Nadhir;382-389;0
Perang Asafan;2;2;0.042553;0.000503;0.420776;0.005111;3;Perang As-Sawiq;315-323;0
Perang Riddah;2;2;0.042553;0.000503;0.420776;0.005111;1;Perang Burhan;321-323;0
Perang Safawan;2;2;0.042553;0.000296;0.420776;0.005074;1;Perang As-Sawiq;315-323;0
Isra Mi'raj;1;1;0.021277;0.0;0.38876;0.004447;2;ISRA’ DAN MI’RAJ;191-197;1
Mi'raj;1;1;0.021277;0.0;0.38876;0.004447;2;;;1
Perang Bani Qainuqa;1;1;0.021277;0.0;0.406431;0.004302;1;Perang Bani Qainuqa’;310-323;0
Perang Badr Kubra;0;0;0.0;0.0;0.0;0.003497;1;PERANG BADR KUBRA;266-304;4
Jabal Uhud;0;0;0.0;0.0;0.0;0.003497;1;PERANG UHUD;324-375;5
Perang Hamra'ul Asad;0;0;0.0;0.0;0.0;0.003497;1;Perang Hamra’ul-Asad;368-375;6
Hamra'ul Asad;0;0;0.0;0.0;0.0;0.003497;1;Perang Hamra’ul-Asad;368-375;7
Perang Badr Shughra;0;0;0.0;0.0;0.0;0.003497;1;PERANG BADR KUBRA;266-304;8
Perang Bukhtanashar;0;0;0.0;0.0;0.0;0.003497;1;Perang Burhan;321-323;3
