name;degree_centrality;betweenness_centrality;closeness_centrality;pagerank;degree;community
Muhammad;0.453901;0.476137;0.571405;0.046235;128;0
Abdullah;0.184397;0.174526;0.431593;0.03746;52;1
Ma'ad;0.177305;0.11584;0.413977;0.036598;50;1
Matausyalakh;0.078014;0.11345;0.302008;0.023644;22;3
Abu Jahal;0.297872;0.06698;0.433129;0.020295;84;4
Ali bin Abu Thalib;0.283688;0.044411;0.437017;0.017773;80;0
Umar bin Al-Khaththab;0.276596;0.009084;0.430829;0.01494;78;0
Abu Bakar;0.262411;0.016218;0.424074;0.013933;74;0
Aisyah;0.262411;0.012433;0.425557;0.013408;74;0
Abu Sufyan bin Harb;0.255319;0.012253;0.422601;0.012259;72;0
Syalakh;0.042553;0.008291;0.243906;0.01184;12;3
Utsman bin Affan;0.255319;0.055139;0.423336;0.011113;72;0
Abu Azzah;0.244681;0.000827;0.419687;0.010392;69;0
Rifa'ah bin Abdul Mundzir;0.024823;0.039146;0.36062;0.009147;7;7
Zaid bin Haritsah;0.191489;0.069041;0.445006;0.0089;54;0
Mush'ab bin Umair;0.14539;0.013621;0.403011;0.008711;41;0
Amr bin Umayyah;0.14539;0.00961;0.399047;0.007699;41;0
Abu Lahab;0.163121;0.030828;0.434676;0.007676;46;2
Jabir bin Abdullah;0.152482;0.021993;0.400359;0.007478;43;0
Abdullah bin Ubay bin Salul;0.14539;0.005678;0.399047;0.007446;41;0
Umayyah bin Khalaf;0.163121;0.010701;0.399702;0.007028;46;2
Zainab;0.159574;0.000101;0.399047;0.006828;45;2
Abu Sa'id;0.042553;0.039146;0.367702;0.006718;12;8
Khunais bin Hudzafah;0.159574;0.0;0.399047;0.006683;45;2
Hamzah bin Abdul Muththalib;0.159574;0.000776;0.399047;0.006554;45;2
Abdurrahman;0.159574;0.008278;0.399702;0.006415;45;2
Shafwan bin Umayyah;0.156028;2e-06;0.398394;0.006287;44;2
Ibnu Hajar;0.12766;0.005604;0.397094;0.006217;36;0
Thu'aimah bin Adi;0.156028;2e-06;0.398394;0.0062;44;2
Bilal bin Rabah;0.159574;0.002909;0.399047;0.005986;45;2
Abdullah bin Jahsy;0.120567;0.006587;0.394519;0.005967;34;0
An-Nadhr bin Al-Harits;0.156028;2e-06;0.398394;0.005952;44;2
Ibnu Ummi;0.156028;2e-06;0.398394;0.005932;44;2
Najasyi;0.159574;2e-06;0.399702;0.005932;45;2
Wahb bin Umair;0.156028;2e-06;0.398394;0.005905;44;2
Umair bin Wahb;0.156028;2e-06;0.398394;0.005905;44;2
Ka'b bin Al-Asyraf;0.120567;0.001382;0.394519;0.005781;34;0
Al-Aswad bin Al-Muththalib;0.156028;2e-06;0.398394;0.005768;44;2
Zaid bin Ad-Dastinah;0.156028;2e-06;0.398394;0.005768;44;2
Uqbah bin Al-Harits;0.156028;2e-06;0.398394;0.005768;44;2
Amr bin Al-Ash;0.156028;2e-06;0.398394;0.005768;44;2
Ali bin Umayyah;0.156028;2e-06;0.398394;0.005768;44;2
Ukkasyah bin Mihshan;0.156028;2e-06;0.398394;0.005768;44;2
Ubadah bin Ash-Shamit;0.156028;2e-06;0.398394;0.005768;44;2
