node_id;name;label;aliases;chunk_ids;frequency;periode_bab;page_range
6a799492b87d;Perang Safawan;EVENT;;000114-004;1;Perang As-Sawiq;315-323
34d2b06e0945;Perang Badr Ula;EVENT;;000114-005;1;PERANG BADR KUBRA;266-304
f2c923cb6f65;Perang Dzul Usyairah;EVENT;;000114-005;1;Perang Dumatul Jandal;387-389
031c2f2a431a;Perang Badr Kubra;EVENT;;000114-005;1;PERANG BADR KUBRA;266-304
bac9d5b24121;Perang Al-Yamamah;EVENT;;000138-002;1;PERANG MU’TAH;502-510
16c0dcb36fe7;Perang Riddah;EVENT;;000138-006;1;Perang Burhan;321-323
4a920d266cc0;Jabal Uhud;EVENT;;000157-003;1;PERANG UHUD;324-375
eb98342a30a1;Al-Umawi;EVENT;;000194-001;1;Al-Qur’an;169-173
b3198dfee831;Perang Hamra'ul Asad;EVENT;;000206-007;1;Perang Hamra’ul-Asad;368-375
7bca5d697f16;Hamra'ul Asad;EVENT;;000206-007;1;Perang Hamra’ul-Asad;368-375
543bbb58b67d;Perang Bani Qainuqa;EVENT;;000214-001;1;Perang Bani Qainuqa’;310-323
bbfe8ae2b09e;Perang Badr Shughra;EVENT;;000216-002;1;PERANG BADR KUBRA;266-304
9435fcadd588;Ahzab;EVENT;;000218-026;1;SATUAN-SATUAN PERANG ANTARA PERANG UHUD DAN AHZAB;376-389
2f69c4ffcf12;Perang Bani Al-Ashfar;EVENT;;000301-001;1;Perang Bani Nadhir;382-389
801b22c82659;Makkah;LOCATION;;000002-002 | 000002-003 | 000002-005 | 000002-006 | 000002-009 | 000002-012 | 000007-001 | 000007-002 | 000007-003 | 000007-004 | 000007-005 | 000007-006 | 000007-007 | 000010-001 | 000010-002 | 000010-010 | 000010-014 | 000017-001 | 000017-002 | 000017-003 | 000017-004 | 000017-005 | 000017-006 | 000017-007 | 000017-011 | 000017-012 | 000018-001 | 000019-002 | 000019-003 | 000019-006 | 000020-001 | 000021-001 | 000021-002 | 000023-001 | 000026-001 | 000027-001 | 000028-001 | 000029-001 | 000030-002 | 000030-003 | 000031-001 | 000032-006 | 000032-007 | 000032-008 | 000032-009 | 000037-001 | 000038-001 | 000039-003 | 000045-001 | 000049-009 | 000049-010 | 000049-011 | 000051-001 | 000051-005 | 000051-006 | 000055-001 | 000055-002 | 000057-007 | 000060-001 | 000062-001 | 000063-003 | 000063-005 | 000067-001 | 000068-001 | 000071-003 | 000071-004 | 000074-001 | 000074-002 | 000074-003 | 000075-001 | 000075-004 | 000075-005 | 000075-008 | 000075-009 | 000075-010 | 000076-001 | 000077-002 | 000078-001 | 000078-002 | 000078-003 | 000078-004 | 000078-006 | 000078-009 | 000079-001 | 000080-006 | 000080-010 | 000081-001 | 000081-002 | 000083-007 | 000084-001 | 000088-003 | 000088-005 | 000088-006 | 000089-001 | 000089-003 | 000089-004 | 000089-005 | 000089-006 | 000090-001 | 000090-002 | 000090-005 | 000090-006 | 000092-001 | 000094-001 | 000095-002 | 000095-003 | 000096-002 | 000096-003 | 000096-009 | 000097-001 | 000097-003 | 000098-002 | 000098-003 | 000101-001 | 000103-008 | 000103-009 | 000110-001 | 000111-001 | 000113-001 | 000114-001 | 000114-006 | 000115-001 | 000117-001 | 000118-001 | 000119-001 | 000121-001 | 000122-001 | 000123-001 | 000125-001 | 000126-001 | 000126-002 | 000126-003 | 000127-001 | 000129-002 | 000137-005 | 000138-002 | 000138-003 | 000138-004 | 000140-001 | 000140-004 | 000144-004 | 000146-002 | 000147-001 | 000148-001 | 000148-004 | 000153-002 | 000155-001 | 000155-002 | 000157-001 | 000157-002 | 000158-001 | 000159-001 | 000160-001 | 000161-001 | 000163-001 | 000164-001 | 000171-001 | 000172-001 | 000172-002 | 000177-002 | 000193-001 | 000193-002 | 000195-001 | 000198-001 | 000198-002 | 000198-003 | 000206-004 | 000206-006 | 000206-008 | 000212-002 | 000212-003 | 000212-004 | 000214-001 | 000216-001 | 000216-002 | 000218-001 | 000218-025 | 000221-002 | 000222-001 | 000223-003 | 000227-002 | 000227-003 | 000228-001 | 000229-001 | 000230-001 | 000231-001 | 000234-001 | 000235-001 | 000235-002 | 000236-001 | 000237-001 | 000238-001 | 000241-002 | 000241-003 | 000241-004 | 000243-001 | 000243-002 | 000243-003 | 000247-001 | 000252-001 | 000284-001 | 000284-005 | 000285-001 | 000285-002 | 000285-003 | 000285-004 | 000285-005 | 000299-002 | 000299-003 | 000300-001 | 000300-002 | 000301-001 | 000301-002 | 000302-001 | 000304-001 | 000305-001 | 000306-001 | 000307-001 | 000308-001 | 000314-001 | 000314-002 | 000315-001 | 000316-001 | 000317-001 | 000318-001 | 000319-001 | 000320-001 | 000320-002 | 000320-004 | 000320-005 | 000321-001 | 000322-001 | 000323-001 | 000326-001 | 000333-001 | 000336-001 | 000338-001 | 000339-003 | 000340-001 | 000345-001 | 000351-001 | 000355-006 | 000356-001 | 000356-002 | 000357-001 | 000357-002 | 000357-004 | 000357-006 | 000357-013 | 000357-023 | 000359-001 | 000359-002 | 000359-003 | 000359-007 | 000375-001 | 000388-013;411;;
