node_id;name;label;aliases;chunk_ids;frequency;periode_bab;page_range
6f846f6354c3;Masjidil Haram;LOCATION;;000010-002 | 000049-008 | 000051-003 | 000051-004 | 000057-010 | 000058-001 | 000075-009 | 000075-010 | 000080-002 | 000114-008 | 000114-011 | 000114-014 | 000228-001 | 000229-001 | 000230-001 | 000232-001 | 000233-001 | 000237-002 | 000237-003 | 000241-003 | 000242-001 | 000304-004 | 000359-003 | 000388-013;28;;
b66ce3e21f12;Tha'if;LOCATION;Thaif;000002-012 | 000010-001 | 000067-001 | 000075-001 | 000075-002 | 000075-008 | 000075-011 | 000090-001 | 000114-006 | 000330-001 | 000332-001 | 000332-002 | 000333-001 | 000357-010;26;;
47bd433ebab8;Hijaz;LOCATION;;000002-002 | 000002-003 | 000002-005 | 000002-009 | 000004-002 | 000009-002 | 000010-001 | 000010-002 | 000010-012 | 000103-001 | 000156-001 | 000212-001 | 000220-003 | 000222-001 | 000249-002 | 000289-002;23;;
521bcee2814b;Najd;LOCATION;;000002-003 | 000007-003 | 000090-003 | 000090-004 | 000090-005 | 000090-006 | 000147-001 | 000213-001 | 000215-001 | 000215-002 | 000218-008 | 000219-010 | 000219-011 | 000221-001 | 000257-001 | 000283-001 | 000284-001 | 000297-001;20;;
ee82075a69d8;Aqabah;LOCATION;;000007-003 | 000024-001 | 000075-005 | 000079-001 | 000080-011 | 000081-001 | 000081-002 | 000084-001 | 000084-002 | 000088-002 | 000088-005 | 000088-006 | 000359-006 | 000361-001;18;;
3dbe05a852bc;Tabuk;LOCATION;;000347-001 | 000347-002 | 000347-003 | 000348-001 | 000348-003 | 000349-001 | 000349-002 | 000352-001 | 000353-001 | 000357-007;18;;
9c2396d40256;Irak;LOCATION;;000001-001 | 000002-004 | 000005-001 | 000005-002 | 000007-003 | 000009-001 | 000009-002 | 000010-014 | 000010-015 | 000125-001 | 000157-002 | 000355-002;17;;
9dc590308045;Uhud;LOCATION;;000144-003 | 000163-001 | 000168-001 | 000177-001 | 000184-001 | 000185-002 | 000185-003 | 000200-001 | 000208-002 | 000218-008 | 000218-014 | 000320-004 | 000349-001 | 000361-001;17;;
8c5641573698;Zamzam;LOCATION;;000002-005 | 000002-006 | 000002-008 | 000007-002 | 000017-005 | 000019-006 | 000078-004 | 000140-002 | 000140-003 | 000359-007;16;;
7e2cfbda530c;Shafa;LOCATION;;000007-002 | 000044-001 | 000049-002 | 000050-002 | 000056-001 | 000057-006 | 000285-003 | 000285-006 | 000307-001 | 000308-001 | 000317-001 | 000318-001 | 000359-003;16;;
d3ab151448a8;Mina;LOCATION;;000007-002 | 000007-003 | 000017-007 | 000079-001 | 000081-001 | 000081-002 | 000084-001 | 000088-003 | 000359-003 | 000359-006 | 000359-009 | 000359-010 | 000360-001;15;;
c9eb58282d7f;Najran;LOCATION;;000004-003 | 000010-013 | 000338-001 | 000357-013 | 000357-015 | 000357-017;11;;
73324ed1f7f0;Baitul Maqdis;LOCATION;;000017-008 | 000079-003 | 000080-002 | 000080-007 | 000080-010 | 000105-001 | 000114-014 | 000250-002 | 000286-001;10;;
8b4bb7941d5a;Palestina;LOCATION;;000002-004 | 000002-005 | 000002-008 | 000010-012 | 000017-002 | 000357-003 | 000360-001;9;;
4a59c0abf585;Persia;LOCATION;Persi;000004-003 | 000004-004 | 000005-001 | 000218-007 | 000245-002 | 000249-001 | 000249-002 | 000355-002;9;;
f615af955240;Arafah;LOCATION;;000007-002 | 000007-003 | 000010-009 | 000010-010 | 000323-001 | 000359-003;8;;
90cc0e2d25da;Hunain;LOCATION;;000323-001 | 000326-001 | 000327-001 | 000330-001 | 000332-001;8;;
