node_id;name;label;aliases;chunk_ids;frequency;periode_bab;page_range
8b4bb7941d5a;Palestina;LOCATION;;000002-004 | 000002-005 | 000002-008 | 000010-012 | 000017-002 | 000357-003 | 000360-001;9;;
f615af955240;Arafah;LOCATION;;000007-002 | 000007-003 | 000010-009 | 000010-010 | 000323-001 | 000359-003;8;;
c363b4a5e668;Marwah;LOCATION;;000285-003 | 000285-004 | 000285-006 | 000301-001 | 000359-003;8;;
e872f75feba8;Muzdalifah;LOCATION;;000007-002 | 000007-003 | 000010-009 | 000010-010 | 000017-007 | 000359-006;7;;
338080a29e65;Gua Hira;LOCATION;;000031-001 | 000032-001 | 000032-003 | 000032-007 | 000034-001 | 000035-002;7;;
4a59c0abf585;Persia;LOCATION;;000004-003 | 000004-004 | 000005-001 | 000245-002 | 000249-001 | 000355-002;7;;
bf1727d5e7c0;Eufrat;LOCATION;;000002-004 | 000002-012 | 000005-001 | 000080-005 | 000080-006;6;;
7312f9f89d0c;Laut Merah;LOCATION;;000001-001 | 000010-001 | 000090-001 | 000096-002 | 000327-001;5;;
37df454de2e0;Tihamah;LOCATION;;000002-003 | 000002-012 | 000010-002 | 000218-002 | 000333-002;5;;
87dc068bb5a3;Dzul Hulaifah;LOCATION;;000229-001 | 000243-001 | 000285-001 | 000359-001 | 000359-002;5;;
e6e4844c70a6;Mesir;LOCATION;;000002-002 | 000002-004 | 000002-009 | 000004-002;5;;
4b562369be3a;Wadi Nakhlah;LOCATION;;000010-001 | 000075-006;4;;
ef682b9acbd6;Qudaid;LOCATION;;000010-001 | 000096-002 | 000224-003;3;;
5fe91c810e55;Nil;LOCATION;;000080-005 | 000080-006;3;;
adc10b0fd910;Sidratul Muntaha;LOCATION;;000080-003 | 000080-005;3;;
8d5ae16d1b23;Jabal Nur;LOCATION;;000031-001 | 000035-002;2;;
0e70252fca2b;Ukazh;LOCATION;;000014-001 | 000074-004;2;;
1b6884b3d278;Dzil-Majaz;LOCATION;;000014-001 | 000074-004;2;;
4e53ac054822;Khandaq;LOCATION;;000218-025 | 000218-026;2;;
b949970a7766;Babilon;LOCATION;;000010-012;1;;
ba15993ceb6a;Babilonia;LOCATION;;000010-012;1;;
a88e67768555;Al-Kudr;LOCATION;;000147-001;1;;
0e19cc56e38d;Majinnah;LOCATION;;000014-001;1;;
ec92e4cc4d49;Al-Jurf;LOCATION;;000360-002;1;;
c897991d3fd3;Al-Baitul-Ma'mur;LOCATION;;000080-003;1;;
cc52175452bc;Gua Tsur;LOCATION;;000090-006;1;;
