node_id;name;label;aliases;chunk_ids;frequency;periode_bab;page_range
a5e28269fb58;Baiat Aqabah;EVENT;;000089-001|000124-002;2;Dakwah di Luar Makkah & Isra Mi'raj;198-202
be3ec22cbc5d;Baiat Aqabah Kubra;EVENT;;000088-005|000089-001|000089-005|000090-002;4;Dakwah di Luar Makkah & Isra Mi'raj;203-209
af7be2402d6d;Fathul Makkah;EVENT;Fathu Makkah | Penaklukan Makkah;000099-001|000223-003|000321-001;3;Perang Mu'tah & Penaklukan Makkah;524-536
876f2449d4fc;Haji Wada';EVENT;;000359-001|000359-002|000359-003|000359-004|000359-005|000359-006|000359-007|000359-008|000359-009|000359-010|000360-001|000360-002;12;Penaklukan Makkah hingga Akhir Kenabian;596-610
9aa593607e6f;Hijrah Ke Habasyah;EVENT;;000051-001|000051-002|000051-003|000051-004|000051-005|000051-006|000052-001|000052-002|000052-003|000052-004|000052-005|000052-006|000052-007;13;Dakwah Jahriyah & Tekanan Quraisy;133-160
ffd80e80fffa;Hijrah Ke Madinah;EVENT;;000091-001|000092-001|000092-002|000093-001|000093-002|000094-001|000095-001|000095-002|000095-003|000095-004|000096-001|000096-002|000096-003|000096-004|000096-005|000096-006|000096-007|000096-008|000096-009|000096-010|000097-001|000097-002|000097-003|000098-001|000098-002|000098-003;26;Hijrah ke Madinah;214-232
f90ea270344a;Hudaibiyah;EVENT;;000274-001;1;Hudaibiyah & Babak Baru Diplomasi;486-487
a7f0f1d42cd8;Isra' Mi'raj;EVENT;Isra' Dan Mi'Raj | Isra' Mi'Raj;000080-001|000080-009;2;Dakwah di Luar Makkah & Isra Mi'raj;191-197
abd83d2a0067;Kelahiran Nabi;EVENT;;000018-001|000018-002|000019-001|000019-002|000019-003|000019-004|000019-005|000019-006|000020-001|000021-001|000021-002|000022-001|000023-001|000024-001|000024-002|000025-001|000026-001|000026-002|000027-001|000028-001|000028-002|000029-001|000029-002|000029-003|000029-004|000030-001|000030-002|000030-003|000030-004;29;Nasab & Kelahiran Nabi;73-93
1a8d5ae3b5b4;Mi'Raj;EVENT;;000035-002|000080-005;2;Awal Kenabian & Mandat Dakwah;100-197
ca40e2ba9d02;Pemboikotan Bani Hasyim;EVENT;;000060-001|000061-001|000062-001|000062-002|000063-001|000063-002|000063-003|000063-004|000063-005;9;Dakwah Jahriyah & Tekanan Quraisy;152-160
7e6b669743ff;Perang Abwa;EVENT;;000114-003;1;Membangun Masyarakat Madinah;256-265
bac9d5b24121;Perang Al-Yamamah;EVENT;;000138-002;1;Perang Badr & Dampaknya;289-293
1cb20830a588;Perang As-Sawiq;EVENT;;000153-002;1;Perang Badr & Dampaknya;315-316
bcaa2d7ae36f;Perang Asafan;EVENT;;000215-002|000215-003;2;Perang Uhud & Satuan Pasukan Pasca Uhud;385-386
