name;degree_centrality;betweenness_centrality;closeness_centrality;pagerank;degree;community
Syaima' binti Al-Harits;0.044118;0.0;0.439243;0.004495;6;2
Sa'd bin Mu'adz;0.095588;0.026144;0.468757;0.004492;13;0
Amir bin Al-Akwa';0.044118;0.0;0.437622;0.004022;6;0
Ja'far bin Abu Thalib;0.044118;0.0;0.437622;0.004022;6;0
Al-Miqdad bin Amr;0.044118;3.6e-05;0.437622;0.003796;6;0
Mu'adz bin Amr;0.044118;0.0;0.439243;0.003745;6;2
Khadijah;0.044118;0.000436;0.444178;0.003605;6;0
Zainab binti Jahsy;0.080882;0.0;0.459673;0.003556;11;0
Huyai bin Akhthab;0.080882;0.0;0.459673;0.003556;11;0
Usamah bin Zaid;0.014706;0.013725;0.380114;0.003511;2;7
Umayyah;0.022059;0.013725;0.394005;0.00343;3;1
Hakim bin Hizam;0.029412;0.013725;0.392701;0.003283;4;1
Al-Qurthubi;0.036765;0.0;0.437622;0.003209;5;0
Al-Mundzir bin Uqbah bin Amir;0.080882;0.0;0.459673;0.003162;11;0
Abul Bakhtari bin Hisyam;0.022059;0.013725;0.388838;0.00306;3;1
Musa bin Imran;0.036765;0.00817;0.437622;0.002966;5;0
Nu'man bin Qail;0.022059;0.0;0.432831;0.002924;3;4
Al-Harits bin Abdi;0.022059;0.0;0.432831;0.002924;3;4
Mu'adz bin Jabal;0.022059;0.0;0.432831;0.002924;3;4
Al-Baihaqi;0.044118;0.0;0.439243;0.002923;6;0
Ibnul Jauzi;0.044118;0.0;0.439243;0.002923;6;0
Mirdas bin Nuhaik;0.007353;0.0;0.270766;0.002587;1;7
Tsabit bin Qais bin Syammas;0.029412;0.0;0.434416;0.002454;4;3
Abu Ubaidah bin Al-Jarrah;0.044118;0.003877;0.439243;0.002397;6;0
Az-Zabir bin Batha;0.029412;0.00076;0.434416;0.002385;4;3
Iyas bin Mu'adz;0.029412;0.00076;0.434416;0.002385;4;3
Abu Thalib;0.036765;0.0;0.403386;0.00217;5;1
Abu Shafwan;0.007353;0.0;0.277741;0.001824;1;1
Budail bin Zarqa';0.007353;0.0;0.277092;0.001792;1;1
Abu Hudzaifah;0.007353;0.0;0.275164;0.001789;1;1
Adam;0.007353;0.0;0.299484;0.001756;1;0
Ka'b bin Malik;0.007353;0.0;0.429694;0.001727;1;0
Jabalah bin Al-Aiham;0.007353;0.0;0.300242;0.001636;1;2
Sallam bin Abul Huqaiq;0.014706;0.0;0.431257;0.001635;2;0
Utbah bin Rabi'ah;0.014706;0.0;0.442521;0.001634;2;1
Ummu Misthah;0.014706;0.0;0.431257;0.001613;2;0
Salamah bin Abu Salamah;0.014706;0.0;0.387567;0.001551;2;1
Sa D bin Mu Adz;0.007353;0.0;0.429694;0.001411;1;0
Ibnu Qami'ah;0.007353;0.0;0.429694;0.001411;1;0
Ka'b bin Asad;0.007353;0.0;0.429694;0.001411;1;0
Ashhamah bin Al-Aijar;0.007353;0.0;0.350875;0.001334;1;0
Ibnu Ummi;0.007353;0.0;0.385051;0.001325;1;0
Martsad bin Abu Martsad;0.007353;0.0;0.385051;0.001325;1;0
Al-Miqdad bin Al-Aswad;0.007353;0.0;0.385051;0.001325;1;0
Amir bin Fuhairah;0.007353;0.0;0.380114;0.001314;1;0
Abdullah bin Uraiqith;0.007353;0.0;0.380114;0.001314;1;0
Musafi' bin Abdi;0.007353;0.0;0.380114;0.001292;1;1
Malik bin Auf;0.007353;0.0;0.429694;0.001267;1;0
Imran bin Amr;0.007353;0.0;0.429694;0.001267;1;0
